"","Personal Freedom","Economic Freedom"
"Netherlands","9.40","7.71"
"Norway","9.34","7.60"
"Sweden","9.33","7.44"
"Denmark","9.33","7.77"
"Finland","9.29","7.65"
"New Zealand","9.28","8.49"
"Luxembourg","9.26","7.60"
"Austria","9.25","7.58"
"Germany","9.24","7.69"
"Switzerland","9.19","8.39"
"Australia","9.18","7.98"
"Canada","9.15","7.98"
"Iceland","9.08","7.22"
"Portugal","9.04","7.51"
"Taiwan","9.04","7.89"
"Czech Rep.","9.03","7.56"
"Estonia","9.01","7.86"
"United Kingdom","9.00","8.00"
"Belgium","8.99","7.32"
"Malta","8.98","7.73"
"Ireland","8.94","8.07"
"Latvia","8.85","7.64"
"Slovenia","8.82","7.05"
"Lithuania","8.82","7.86"
"France","8.77","7.25"
"Korea, South","8.77","7.53"
"Spain","8.76","7.56"
"United States","8.75","8.03"
"Japan","8.73","7.47"
"Italy","8.69","7.27"
"Romania","8.65","7.69"
"Hong Kong","8.58","8.97"
"Slovak Rep.","8.54","7.30"
"Cyprus","8.51","7.71"
"Croatia","8.46","6.96"
"Poland","8.35","7.27"
"Uruguay","8.30","7.16"
"Hungary","8.26","7.22"
"Chile","8.22","7.80"
"Costa Rica","8.17","7.55"
"Bulgaria","8.16","7.41"
"Argentina","8.10","4.84"
"Mongolia","8.00","7.40"
"Cape Verde","7.99","6.68"
"Greece","7.95","6.46"
"Ghana","7.87","6.60"
"Bosnia and Herzegovina","7.86","6.60"
"Serbia","7.85","6.85"
"Fiji","7.79","6.79"
"Suriname","7.79","6.36"
"Peru","7.72","7.43"
"Mauritius","7.72","8.01"
"Panama","7.72","7.58"
"Barbados","7.71","6.43"
"South Africa","7.70","6.65"
"Montenegro","7.63","7.04"
"Albania","7.60","7.54"
"Georgia","7.58","8.02"
"Ecuador","7.55","6.06"
"Israel","7.54","7.49"
"Benin","7.50","5.98"
"Singapore","7.48","8.84"
"Burkina Faso","7.46","6.05"
"Bahamas","7.45","7.34"
"Malawi","7.45","5.86"
"Belize","7.43","6.86"
"Macedonia","7.41","7.13"
"Namibia","7.39","6.40"
"Seychelles","7.37","7.23"
"Jamaica","7.27","7.18"
"Pap. New Guinea","7.25","6.25"
"Cambodia","7.24","7.17"
"Bolivia","7.21","6.23"
"Haiti","7.18","6.51"
"Cote d'Ivoire","7.06","6.00"
"Moldova","7.06","6.64"
"Sierra Leone","7.04","5.75"
"Guyana","7.04","6.31"
"Colombia","7.02","6.50"
"Paraguay","6.97","6.95"
"Dominican Rep.","6.94","7.18"
"Trinidad and Tobago","6.92","6.73"
"El Salvador","6.92","7.15"
"Armenia","6.91","7.57"
"Nepal","6.91","6.53"
"Botswana","6.88","7.43"
"Guinea-Bissau","6.86","5.25"
"Madagascar","6.84","6.19"
"Mexico","6.80","6.90"
"Congo, Rep. of","6.78","5.02"
"Senegal","6.77","6.22"
"Togo","6.73","5.82"
"Lesotho","6.69","6.38"
"Brazil","6.67","5.75"
"Mozambique","6.66","5.50"
"Bhutan","6.60","7.02"
"Ukraine","6.59","5.98"
"Tunisia","6.58","6.29"
"Guatemala","6.55","7.64"
"Philippines","6.50","7.34"
"Rwanda","6.47","7.48"
"Kenya","6.45","7.20"
"Nicaragua","6.43","7.27"
"Lebanon","6.43","6.99"
"Liberia","6.40","6.56"
"Thailand","6.40","6.85"
"Honduras","6.39","7.06"
"Indonesia","6.38","7.16"
"Kazakhstan","6.38","7.11"
"Kyrgyz Republic","6.25","6.93"
"Jordan","6.24","7.46"
"India","6.20","6.63"
"Timor-Leste","6.19","6.55"
"Bahrain","6.14","7.56"
"Uganda","6.13","7.41"
"Tanzania","6.13","6.92"
"Angola","6.11","5.17"
"Turkey","6.09","6.84"
"Mali","6.06","5.80"
"Belarus","6.06","6.23"
"Sri Lanka","6.04","6.49"
"Swaziland","6.02","6.46"
"Zambia","6.01","6.61"
"Morocco","5.99","6.37"
"Vietnam","5.97","6.42"
"Malaysia","5.90","6.92"
"Laos","5.86","6.91"
"Nigeria","5.82","6.32"
"Niger","5.71","6.01"
"Russia","5.71","6.83"
"Azerbaijan","5.68","6.49"
"Tajikistan","5.65","6.72"
"Kuwait","5.63","6.75"
"Qatar","5.53","7.49"
"Venezuela","5.52","2.88"
"Chad","5.51","5.44"
"Oman","5.51","6.76"
"Central Afr. Rep.","5.47","5.11"
"Myanmar","5.46","5.42"
"Guinea","5.37","5.93"
"China","5.35","6.46"
"Cameroon","5.33","5.82"
"Pakistan","5.32","6.00"
"Gabon","5.32","5.84"
"Gambia, The","5.30","7.34"
"Bangladesh","5.30","6.30"
"Algeria","5.28","4.99"
"Zimbabwe","5.17","6.06"
"United Arab Emirates","5.07","7.50"
"Ethiopia","5.06","5.73"
"Mauritania","4.99","5.96"
"Congo, Dem. R.","4.95","5.67"
"Brunei Darussalam","4.66","6.93"
"Iran","4.53","6.03"
"Saudi Arabia","4.44","6.52"
"Burundi","4.41","5.92"
"Sudan","4.25","5.36"
"Egypt","3.89","5.72"
"Libya","3.88","4.74"
"Iraq","3.12","5.40"
"Syria","2.51","5.02"
"Yemen, Rep.","2.17","6.34"
